SKU;Margem
1023934;10
1096273;10
1005480;10
1002520;10
1022873;10
1004930;10
1111841;10
1037919;10
1003372;10
1023802;10
1109405;10
1129783;10
1017942;10
1121120;10
1134035;10
1133098;10
1025066;10
1020870;10
1134760;10
1030256;10
1003623;10
1036220;10
1095510;10
1003526;10
1024493;10
1022970;10
1128175;10
1008587;10
1004379;10
1021680;10
1019147;10
1021575;10
1027069;10
1097199;10
1020609;10
1020153;10
1021915;10
1021656;10
1096010;10
1003305;10
1023721;10
1018280;10
1024671;10
1023799;10
1035053;10
1024710;10
1021621;10
1089056;10
1007238;10
1011324;10
1009150;10
1011278;10
1004778;10
1216651;10
1036050;10
1205277;10
1110870;10
1025635;10
1193961;10
1118340;10
1205188;10
1193953;10
1215418;10
1023764;10
1203517;10
1123955;10
1150952;10
1046659;10
1181963;10
1035460;10
1096290;10
1151037;10
1023527;10
1016555;10
1058746;10
1023926;10
1215396;10
1041690;10
1036254;10
1205773;10
1215361;10
1041630;10
1018230;10
1070916;10
1117114;10
1001884;10
1060619;10
1126008;10
1179896;10
1042912;10
1216767;10
1046519;10
1021761;10
1050940;10
1018507;10
1053728;10
1025350;10
1008269;10
1110560;10
1040081;10
1024450;10
1024485;10
1042025;10
1044109;10
1110241;10
1094319;10
1001612;10
1205595;10
1205609;10
1203525;10
1048562;10
1184679;10
1132008;10
1216139;10
1038672;10
1122592;10
1212338;10
1032739;10
1110454;10
1042386;10
1110012;10
1214233;10
1037471;10
1027212;10
1216627;10
1203371;10
1127896;10
1037552;10
1042157;10
1095676;10
1213458;10
1215914;10
1035975;10
1008242;10
1215205;10
1179489;10
1179918;10
1041576;10
1105361;10
1024329;10
1032100;10
1032267;10
1026585;10
1046985;10
1036203;10
1009001;10
1098276;10
1215060;10
1099639;10
1034804;10
1083481;10
1215175;10
1036025;10
1213610;10
1036149;10
1133420;10
1124293;10
1030833;10
1041061;10
1043609;10
1075764;10
1026160;10
1216600;10
1212478;10
1038931;10
1094394;10
1099779;10
1035720;10
1017012;10
1177249;10
1051156;10
1177281;10
1181432;10
1123920;10
1123254;10
1110462;10
1039504;10
1039970;10
1130331;10
1110349;10
1128159;10
1035800;10
1134744;10
1203533;10
1031503;10
1091565;10
1000632;10
1041320;10
1026615;10
1135112;10
1044621;10
1110071;10
1031015;10
1184709;10
1095862;10
1102044;10
1088297;10
1177290;10
1042360;10
1100726;10
1212354;10
1039008;10
1094351;10
1214276;10
1024841;10
1110489;10
1025856;10
1177222;10
1128477;10
1040634;10
1098845;10
1018221;10
1122916;10
1022792;10
1097652;10
1031104;10
1119753;10
1110551;10
1035207;10
1034480;10
1095030;10
1099582;10
1135414;10
1079921;10
1095021;10
1005944;10
1030710;10
1098861;10
1058126;10
1038850;10
1177320;10
1032836;10
1043030;10
1184660;10
1215906;10
1021362;10
1026127;10
1019120;10
1000195;10
1041622;10
1036319;10
1088882;10
1039920;10
1029371;10
1031490;10
1031465;10
1215744;10
1128230;10
1031457;10
1005685;10
1206540;10
1177273;10
1031449;10
1179438;10
1185470;10
1024442;10
1128248;10
1004280;10
1032631;10
1112325;10
1025198;10
1126300;10
1116029;10
1126156;10
1118706;10
1031562;10
1032720;10
1109359;10
1132920;10
1096583;10
1017411;10
1005308;10
1041681;10
1216120;10
1109227;10
1007769;10
1179900;10
1100386;10
1033115;10
1212435;10
1070452;10
1116193;10
1124765;10
1007424;10
1093967;10
1213580;10
1030132;10
1123009;10
1068180;10
1216678;10
1030906;10
1069098;10
1066455;10
1095609;10
1023462;10
1024957;10
1004573;10
1022563;10
1070010;10
1110969;10
1203550;10
1181459;10
1029940;10
1033204;10
1072919;10
1028928;10
1025716;10
1021478;10
1203568;10
1002503;10
1133713;10
1043749;10
1118447;10
1117335;10
1206613;10
1123424;10
1026194;10
1203576;10
1041088;10
1132474;10
1002899;10
1111345;10
1008927;10
1055143;10
1120409;10
1123475;10
1030558;10
1039601;10
1133543;10
1031520;10
1019635;10
1031678;10
1023500;10
1097504;10
1033174;10
1108379;10
1116886;10
1177230;10
1212389;10
1041347;10
1046780;10
1018841;10
1030221;10
1028804;10
1016717;10
1033476;10
1110535;10
1115170;10
1062379;10
1031082;10
1069420;10
1070479;10
1071165;10
1132652;10
1033123;10
1098225;10
1021109;10
1032623;10
1029681;10
1211293;10
1050230;10
1030973;10
1110497;10
1030876;10
1028901;10
1215426;10
1133730;10
1029916;10
1008471;10
1130340;10
1126717;10
1097180;10
1135821;10
1076043;10
1206222;10
1035150;10
1040103;10
1042491;10
1214071;10
1004638;10
1044044;10
1091751;10
1040545;10
1041835;10
1212028;10
1058428;10
1033492;10
1048414;10
1034421;10
1032640;10
1191012;10
1116754;10
1029185;10
1216619;10
1128221;10
1123785;10
1100459;10
1016610;10
1216147;10
1191055;10
1191063;10
1191071;10
1191080;10
1032763;10
1040480;10
1031589;10
1091425;10
1003020;10
1024426;10
1115383;10
1202030;10
1048880;10
1032445;10
1124790;10
1133080;10
1000748;10
1039202;10
1216635;10
1129864;10
1031341;10
1026364;10
1095986;10
1031554;10
1078739;10
1072935;10
1073869;10
1088866;10
1088874;10
1039415;10
1030779;10
1214209;10
1035096;10
1041223;10
1046969;10
1023071;10
1029118;10
1039350;10
1046772;10
1039164;10
1212362;10
1125389;10
1131036;10
1133349;10
1017144;10
1035134;10
1200615;10
1066706;10
1097113;10
1108506;10
1048945;10
1051032;10
1214845;10
1043471;10
1098543;10
1049550;10
1123351;10
1037366;10
1113135;10
1205781;10
1028880;10
1033018;10
1042424;10
1110357;10
1039431;10
1028790;10
1125311;10
1111485;10
1046500;10
1133381;10
1054627;10
1193821;10
1031660;10
1038800;10
1028910;10
1030981;10
1026275;10
1031350;10
1021869;10
1200607;10
1200909;10
1200593;10
1029061;10
1052659;10
1054341;10
1216660;10
1020080;10
1004824;10
1203290;10
1203312;10
1038575;10
1062069;10
1030035;10
1113259;10
1121405;10
1028812;10
1017381;10
1098918;10
1120727;10
1029207;10
1032330;10
1029029;10
1029037;10
1030337;10
1099302;10
1098390;10
1114727;10
1200690;10
1200852;10
1029924;10
1115642;10
1206133;10
1030477;10
1038605;10
1098802;10
1133110;10
1114484;10
1032160;10
1030957;10
1099612;10
1126598;10
1041932;10
1212486;10
1039644;10
1128590;10
1069403;10
1057553;10
1065238;10
1066722;10
1212524;10
1094009;10
1204696;10
1050516;10
1039997;10
1029266;10
1125184;10
1040413;10
1112864;10
1040251;10
1028863;10
1032348;10
1008978;10
1215701;10
1213288;10
1033417;10
1095471;10
1042947;10
1029860;10
1039342;10
1200631;10
1089366;10
1043587;10
1025201;10
1042254;10
1038702;10
1202219;10
1039067;10
1117777;10
1061712;10
1062930;10
1066803;10
1070592;10
1060929;10
1112635;10
1028987;10
1031600;10
1115863;10
1210769;10
1045369;10
1031260;10
1045016;10
1181726;10
1216686;10
1202049;10
1115294;10
1091824;10
1133527;10
1040057;10
1048783;10
1029282;10
1133217;10
1134302;10
1097741;10
1027018;10
1189808;10
1111353;10
1028871;10
1124870;10
1212508;10
1029088;10
1030523;10
1048236;10
1032496;10
1048678;10
1031279;10
1026666;10
1214667;10
1133330;10
1100467;10
1101137;10
1053418;10
1021818;10
1048023;10
1112643;10
1112694;10
1041150;10
1030361;10
1030450;10
1040650;10
1048147;10
1031031;10
1121456;10
1200720;10
1130471;10
1191047;10
1029290;10
1124927;10
1030949;10
1030914;10
1038761;10
1111477;10
1129180;10
1048597;10
1039695;10
1044079;10
1121367;10
1133039;10
1124960;10
1116959;10
1114689;10
1114506;10
1047981;10
1128124;10
1032186;10
1043501;10
1029452;10
1071882;10
1080652;10
1081039;10
1081152;10
1030094;10
1041436;10
1041797;10
1130544;10
1030434;10
1043145;10
1030469;10
1112260;10
1121901;10
1058029;10
1216716;10
1032429;10
1113569;10
1097989;10
1114425;10
1117602;10
1091832;10
1200844;10
1042769;10
1117874;10
1029444;10
1030620;10
1032127;10
1037285;10
1121375;10
1099914;10
1025880;10
1029835;10
1059181;10
1116436;10
1030930;10
1031996;10
1200887;10
1031511;10
1044532;10
1129481;10
1035657;10
1112716;10
1130170;10
1031333;10
1035665;10
1039881;10
1028618;10
1129104;10
1129562;10
1099795;10
1028782;10
1043455;10
1043897;10
1044745;10
1053701;10
1053795;10
1124609;10
1029614;10
1028960;10
1069101;10
1130412;10
1130463;10
1129929;10
1117530;10
1200860;10
1029436;10
1128540;10
1130161;10
1130188;10
1130200;10
1130536;10
1121758;10
1116428;10
1114450;10
1133063;10
1205030;10
1039890;10
1049577;10
1051474;10
1031767;10
1050958;10
1130196;10
1113089;10
1113070;10
1052020;10
1128809;10
1133357;10
1026984;10
1095269;10
1027000;10
1213601;10
1046497;10
1200801;10
1122061;10
1215035;10
1041266;10
1030647;10
1031775;10
1049135;10
1029223;10
1132563;10
1029002;10
1051520;10
1032674;10
1125109;10
1040758;10
1121650;10
1031538;10
1121987;10
1029584;10
1132555;10
1035495;10
1041410;10
1030086;10
1028740;10
1212494;10
1031643;10
1121472;10
1039156;10
1039679;10
1069322;10
1100858;10
