SKU;Margem
1038613;10
1033107;10
1130870;10
1204661;10
1030507;10
1024736;10
1128710;10
1129201;10
1060155;10
1028731;10
1041517;10
1054732;10
1000470;10
1099221;10
1032178;10
1032402;10
1030230;10
1029460;10
1031201;10
1044869;10
1116827;10
1111523;10
1033301;10
1210742;10
1130129;10
1053256;10
1112945;10
1117076;10
1029630;10
1129058;10
1029070;10
1061062;10
1130838;10
1204475;10
1104705;10
1098365;10
1129813;10
1016687;10
1044508;10
1030809;10
1116991;10
1204467;10
1206524;10
1054759;10
1125249;10
1133411;10
1046918;10
1183338;10
1133144;10
1058266;10
1125079;10
1099310;10
1050494;10
1121332;10
1056751;10
1092332;10
1203223;10
1204513;10
1179764;10
1129090;10
1133225;10
1044583;10
1024990;10
1093207;10
1093215;10
1053108;10
1028642;10
1100491;10
1117360;10
1125087;10
1045113;10
1064134;10
